Symbol,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,PAH,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
ZNF292,9.884538,10.111414,9.663832,9.375144,9.931055,9.992761,9.555455,9.437981,9.174246,9.304691,9.492149,9.603905,9.706106,9.560787,9.884437,12.40504406,11.86916437,11.7584977,12.8093562,11.97553604,9.210773796,7.913183254,13.83395108,9.647283569,8.369649616,9.970135634,7.382801388,11.24273375,10.92049124,8.987162418,10.94250239,11.40724079,11.26604626,9.293423,8.365866,7.858238,8.263957,9.209047,8.773651,8.043666,9.038839,8.140423,8.658025,8.062907,9.559778131,9.814275899,9.084364181,10.15977334,9.2027211,8.052028961,10.20950338,9.625261405,8.260945269,9.310585823,9.315813144,9.852850665,8.233213226
ZFX,9.895557,10.011917,9.971456,9.683368,9.769439,9.846506,9.621085,9.954884,9.572026,9.306867,9.477705,9.070465,9.530104,9.387736,9.043539,10.41652433,9.290232437,10.00682603,9.238558953,7.673495169,7.774759328,6.985052725,9.95037771,7.358104045,8.499824413,9.251126193,6.519678981,9.882452358,9.280498131,7.17816801,9.209201216,9.21868773,8.909373209,8.43244,8.431507,8.72623,8.195231,8.773285,8.731458,8.159449,8.48254,8.232146,8.917406,8.667846,7.852109454,6.856387861,7.234455652,8.434923181,7.634759621,6.525129524,7.200822847,7.545932146,7.054984741,7.359525924,7.404221038,7.7875256,6.596502312
ZC3H13,9.283978,9.334365,9.165462,8.542632,9.006495,9.29341,9.097297,9.04814,8.953375,8.910209,9.077317,8.92777,8.912739,8.767288,8.792295,10.83907173,11.16422411,11.12753046,10.80767464,8.493934734,9.210942218,8.835589079,11.31743976,8.045205062,9.954626465,10.39758948,7.486966186,10.13199863,10.09764439,8.587403989,10.18935465,11.10830556,10.69703588,8.245248,7.77558,7.587722,7.483195,8.490501,7.837425,7.475614,7.781323,7.600595,7.782881,7.385029,7.935119969,8.133156404,8.457789121,10.03219948,8.889850001,7.704523353,8.294246596,9.189615132,8.019241217,7.66636333,8.838652016,7.505335776,7.100661164
VEPH1,10.388991,9.950612,9.710462,9.223282,9.830918,8.337262,10.514166,8.975028,10.14478,10.117629,10.250797,10.002189,9.822395,9.534904,10.354976,10.38301624,10.49370268,10.97418154,11.27150539,9.124479309,9.058948329,9.254636218,11.07191507,9.455529658,9.366703383,9.490405581,9.05746149,9.810666352,10.09940527,9.941042342,10.94007476,10.410387,10.03340246,9.588459,8.710341,8.350255,8.399672,9.670943,8.734216,8.009772,8.966437,8.025044,9.01589,8.331974,8.691935735,8.174808126,9.285064383,9.085625641,7.526385004,9.440502328,8.548989428,9.28538184,8.548246715,9.645620454,9.953548118,8.387998176,8.058360436
UBXN4,10.197581,10.329606,10.103917,10.228629,10.141373,10.063099,10.070951,10.238753,10.17449,10.084949,10.008956,9.857019,9.942716,9.860294,9.802275,10.94158743,10.80369503,10.7725106,10.80336789,9.325153203,8.61054622,7.732729937,11.63108147,8.005617841,10.07515762,9.333660136,8.304829443,11.05063987,10.11703918,7.807570755,10.88103979,10.41355359,9.749175771,9.493588,8.709738,8.641152,8.807684,9.779357,9.233655,8.634823,9.457094,9.160107,9.143507,8.540433,8.793873993,8.547389965,9.147972057,8.57892457,8.455577169,8.331527116,9.288334628,8.455894524,8.765784387,8.497706958,8.13221003,8.592070371,8.082453612
TXLNG,9.393699,9.265639,9.609023,9.841245,9.517454,9.696514,9.144248,9.635809,9.08527,9.106459,9.416542,9.363391,9.542533,9.423825,9.391638,10.22532414,10.51728538,10.64555327,10.82632539,9.238593473,9.557559687,7.385217044,11.24693493,8.372468707,9.909110429,10.12457273,6.104167433,9.539082371,10.10835089,7.11390711,10.15651851,10.17097669,10.5808484,8.672096,8.50712,8.183665,7.814557,8.575129,8.457533,8.009323,8.519824,8.129152,8.54055,7.770024,7.743595564,7.788015143,8.949150623,8.500376908,8.564059597,7.078515789,8.404191813,7.014827591,7.806893169,5.932945997,7.093952275,6.926168966,5.462272515
TTN,8.766292,10.539927,10.362711,9.999146,11.104311,9.752656,9.025041,9.349158,7.749438,8.613311,9.263746,9.529479,9.281595,9.214756,9.959965,10.66421274,10.36343793,9.248449952,10.98267937,9.680224422,11.29528981,8.535541732,10.82580523,7.82593839,7.972898047,9.089850681,8.005327319,9.487009558,12.03365343,7.687427268,9.647638308,10.18155447,9.832970779,7.184762,7.971232,7.675065,7.294497,8.624783,8.647468,6.861049,8.604574,7.220351,7.673345,6.601841,6.406241718,7.163603862,7.474113735,7.316706923,6.899688733,8.42437356,8.324256353,10.78762669,8.809120625,10.1490957,9.527986711,9.85065799,6.673434237
TFEC,8.610575,8.296388,7.894973,8.101411,8.0617,7.343229,8.487862,8.582477,8.622827,8.42786,8.129982,8.11636,8.042826,8.604448,8.53304,9.842239016,9.104495695,8.558852514,10.21078002,8.202161286,7.392020051,6.328734581,10.56851775,8.466656091,8.391745881,7.777554108,6.810502466,9.264640304,9.943241151,8.049644908,8.940936857,7.978237679,8.252182414,7.071102,7.161906,6.499297,6.664836,7.639299,7.159302,6.576606,7.4466,7.185458,7.009181,6.773046,7.571950604,6.926178865,7.603751633,6.357518078,6.847609256,6.190117032,6.001449104,6.570557543,7.37322843,6.752457322,8.742245663,7.826385712,7.943915223
SOSTDC1,6.267356,8.072109,7.308974,7.718177,6.643932,6.10561,7.305885,6.283253,6.1467,5.620244,6.3629,7.700539,8.16175,5.493365,7.08118,7.500395538,8.202288315,6.374282318,5.68137185,6.320731629,6.810543136,7.976937527,6.155267553,6.097747518,5.574543278,8.97277133,9.272343191,7.953620342,8.99997625,6.941367888,7.934833142,6.736772697,7.010577051,8.364811,8.34756,9.605509,9.063014,8.75833,9.094459,8.477411,8.683746,7.047151,7.4302,9.356265,10.20546419,9.363322446,8.030485345,10.33121832,3.884215706,9.715069668,7.291208509,9.915087951,10.4433068,11.42558391,7.012277232,9.826078293,7.787125069
SAMD9L,10.661704,10.326722,10.076723,9.544469,10.121175,9.888719,10.69362,9.904561,10.440835,10.41137,10.192115,10.526978,10.402147,11.036349,10.60327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.514422,8.675016,8.496112,8.777043,10.018145,9.464878,8.234833,10.247576,8.545939,9.158796,8.629518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
